,G014-4,○,"■操作手順
「テスト開始」にフォーカス移動し、２本指フリックすると順に読み上げられた。■音声読み上げ
「送信するには緑の 送信 ボタン、取り消すには赤の 取消 ボタンを押してください。
送信 ボタン
取消 ボタン」",,,,
,G021,－,"■操作手順
「テスト開始」にフォーカス移動し、2本指フリックしフォーカス移動順に読み上げられた。
■音声読み上げ
「HTMLのリンク1 リンク
富士通トップページへ リンク
HTMLのリンク2 リンク」",iOSでFlashが再生できないため、代替テキストのリンクが表示された状態。,,,
2013/6/9,G053,○,"■操作手順
タップしてフォーカスを[ここをクリック]リンクへ移動させ、1本指上向きフリック、または左フリックで「ウェブアクセシビリティ基盤委員会の詳細は」と読み上げる。
その状態でローターを「行」にして、1本指フリックすると、「ウェブアクセシビリティ基盤委員会の詳細は、ここをクリック。」と読み上げる。

■音声読み上げ
「ウェブアクセシビリティ基盤委員会の詳細は、ここをクリック。」",,,,
2013/7/4,G088-1,×,"■操作手順
ページを開いたとき、ページタイトルではなくh1が読み上げられた。
■音声読み上げ
「自己適合宣言 見出しレベル1」",,,,
,G090-1,－,テスト不要,,,,
,G090-2,－,テスト不要,,,,
,G090-3,－,テスト不要,,,,
,G090-4,－,テスト不要,,,,
,G090-5,－,テスト不要,,,,
,G091,○,"■操作手順
リンク項目に移動したとき、「東京駅構内の最新のルート リンク」と読み上げられ、ダブルタップしてリンクを開くことができた。
■音声読み上げ
「東京駅構内の最新のルート リンク」",,,,
,G096-1,○,"■操作手順
ボタンにフォーカスを移動したとき「Go ボタン」と読み上げた。
■音声読み上げ
「Go ボタン」",,,,
,G096-2,○,"■操作手順
位置（「下」）が分からなくても、「利用可能な番号」という見出しを探し出し、選ぶことのできる番号を確認することができた。
■音声読み上げ
「利用可能な番号　見出しレベル1
1234-5678-90　リンク リストの開始位置です
2345-6789-01 リンク
3456-7890-12 リンク
4567-8901-23 リンク リストの終了位置です」",,,,
,G096-3,○,"■操作手順
1本指フリックして移動することで、位置（右下）が分からなくても、「プレビュー」を見つけることができた。
■音声読み上げ
「プレビュー リンク イメージ」",,,,
,G107,○,"■操作手順
リンク「用語解説 (新しいウィンドウで表示)」に1本指フリックでフォーカスを移動させただけでは何も起こらずに、ダブルタップしたときだけリンク先が別のウィンドウで開いた。
■音声読み上げ
「用語解説 (新しいウィンドウで表示) リンク」",,,,
,G108,○,"■操作手順
1. テキストフィールドにフォーカスを移動させた際に、テキストフィールドであること及びtitle属性値「検索キーワードを入力」が読み上げられた。
2. 検索ボタンにフォーカスを移動させた際に、ボタンであること及びvalue属性値「検索」が読み上げられた。
■音声読み上げ
「検索キーワードを入力 テキストフィールド」「検索 ボタン」",,,,
,G115-1,○,"■操作手順
1本指フリック、2本指フリックともにリンク項目「ダウンロードページ」に移動することができた。
■音声読み上げ
「ダウンロードページ　リンク」",,,,
,G115-2,×,"■操作手順
1. 1本指フリック、2本指フリックともに、cite要素でマークアップされた「吾輩は猫である」を、引用元として認識して読み上げることができなかった。
2. blockquote要素でマークアップされた部分も、引用として認識して読み上げることができなかった。
■音声読み上げ
「吾輩は猫である。名前はまだ無い。
どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれは書生という人間中で一番獰悪な種族であったそうだ。この書生というのは時々我々を捕えて煮て食うという話である。しかしその当時は何という考もなかったから別段恐しいとも思わなかった。」",,,,
,G115-3,×,"■操作手順
該当項目は通常の本文と同じように読み上げられた。
■音声読み上げ
「ギアがニュートラルにあることを確認してください」",少しだけ声質と音量が変わるように聞こえますが、判断できないレベルです。,,,
,G115-4,×,"■操作手順
該当項目は通常の本文と同じように読み上げられた。
■音声読み上げ
「省略記号 彼女が本当に言いたかったのは、これは良いどころではなく、むしろ素晴らしいということだった 省略記号」",<strong>のみ少しだけ声質と音量が変わるように聞こえますが、判断できないレベルです。,,,
,G115-5,×,"■操作手順
該当項目は通常の本文と同じように読み上げられた。
■音声読み上げ
「そのプレー対する痛烈な批評は、少々厳しすぎるように思われました。」",,,,
,G117,○,"■操作手順
2本指フリックの場合は、それぞれの製品Bにフォーカスを移動したところ、付加情報を含めて読み上げられた。
1本指右フリックの場合は、「製品B」と付加情報を一つのフォーカスに入れることができず「製品B」とだけ読み上げ、さらにフリックすることによって付加情報を読み上げた。
■音声読み上げ
「製品B 新製品
製品B 特価品
製品B 注目商品
製品B 生産中止」",,,,
,G122,○,"■操作手順
「お名前」のテキストフィールドに移動した際、「必須」というメッセージも読み上げられた。
■音声読み上げ
「お名前 必須 テキストフィールド ダブルタップして編集します」",,,,
,G123-4a,×,"■操作手順
1. 「メイン ナビゲーションをスキップ」をダブルタップすると「サブ ナビゲーション」にフォーカスが移動した後、「メイン ナビゲーションをスキップ」に戻る。
2. 「サブ ナビゲーションをスキップ」をダブルタップすると「ウルトラ サブ ナビゲーション」にフォーカスが移動した後、「サブナビゲーションをスキップ」に戻る。
3. 「ウルトラ サブ ナビゲーションをスキップ」をダブルタップすると「アクセシビリティを考える会」にフォーカスが移動した後、「ウルトラ サブナビゲーションをスキップ」に戻る。
■音声読み上げ
「メインコンテンツへスキップ ページ内リンク
サブ ナビゲーションをスキップ ページ内リンク
ウルトラ サブ ナビゲーションをスキップ ページ内リンク」",「メインコンテンツへスキップ」をタップすると、「アクセシビリティを考える会」にフォーカスが移動したのちに「メインコンテンツへスキップ」に戻る。,,,
,G123-4b,×,"■操作手順
1. 「メイン ナビゲーションをスキップ」をダブルタップすると「サブ ナビゲーション」にフォーカスが移動した後、「メインコンテンツへスキップ」に戻る。
2. 「サブ ナビゲーションをスキップ」をダブルタップすると「ウルトラ サブ ナビゲーション」にフォーカスが移動した後、「サブ ナビゲーションをスキップ」に戻る。
3. 「ウルトラ サブ ナビゲーションをスキップ」をダブルタップすると「アクセシビリティを考える会」にフォーカスが移動した後、「ウルトラ サブ ナビゲーション」に戻る。
「メインコンテンツへスキップ ページ内リンク
サブ ナビゲーションをスキップ ページ内リンク
ウルトラ サブ ナビゲーションをスキップ ページ内リンク」",フォーカスが戻る先は一定しない。,,,
2013/7/5,G124-1,×,"■操作手順
1. スキップリンク「メインコンテンツへスキップ」にフォーカスがある状態でダブルタップところ、見出し「アクセシビリティを考える会」にフォーカスが移動した後、「メインコンテンツへスキップ」にフォーカスが戻る。
2. スキップリンク「検索ボックスへスキップ」にフォーカスがある状態でダブルタップところ、見出し「検索」にフォーカスが移動した後、「検索ボックスへスキップ」にフォーカスが戻る。
3. スキップリンク「メインメニューへスキップ」にフォーカスがある状態でダブルタップところ「ホーム |」にフォーカスが移動した。
■音声読み上げ
「メインコンテンツへスキップ ページ内リンク」
「検索ボックスへスキップ ページ内リンク」
「ホーム 縦棒」","スキップリンクの挙動は安定しません。
一回目はページ外にフォーカスが飛ぶことがしばしばあります。（ページタイトルやユーティリティボタンなど）
二回目以降は無限ループになる可能性が高いです。",,,
,G124-2,×,"■操作手順
1. スキップリンク「メインコンテンツへスキップ」にフォーカスがある状態でダブルタップところ、見出し「アクセシビリティを考える会」にフォーカスが移動した後、ページタイトル「G124 例2のサンプル」にフォーカスが移動。
2. スキップリンク「検索ボックスへスキップ」にフォーカスがある状態でダブルタップところ、見出し「検索」にフォーカスが移動した後、ページタイトル「G124 例2のサンプル」にフォーカスが移動。
3. スキップリンク「メインメニューへスキップ」にフォーカスがある状態でダブルタップところ「ホーム |」にフォーカスが移動した。
■音声読み上げ
「メインコンテンツへスキップ ページ内リンク」
「検索ボックスへスキップ ページ内リンク」
「ホーム 縦棒」",この実装方法は安定しています。,,,
,G138,△,"■操作手順
1. 「件名」及び「お名前」のテキストフィールドを読み上げる際に、「必須」もあわせて読み上げられた。
2. strong要素でマークアップされた「必須」が、強調されていることは分かるように読み上げられなかった。
■音声読み上げ
「件名 必須 テキストフィールド ダブルタップして編集します」
お名前 必須 テキストフィールド ダブルタップして編集します」",2本指フリック時のみ「件名 必須 件名 必須」と読み上げられた。,,,
,G187,－,テスト不要,,,,
,G196-1,○,"■操作手順
2本指フリック、1本指フリックともに「評価： 5つ星中、星3個 イメージ」と読み上げられた。
■音声読み上げ
「評価： 5つ星中、星3個 イメージ」",画像が複数並んでいることは認識できません。,,,
,G196-2,○,"■操作手順
1. それぞれの代替テキスト「A」、「AA」、「AAA」が読み上げられた。
■音声読み上げ
「A イメージ
AA イメージ
AAA イメージ」",画像が複数並んでいることは認識できません。,,,
,H002-1,○,"■操作手順
リンク項目にフォーカスを移動させた際、「富士通公開サイト」というリンクテキストが読み上げられた。
■音声読み上げ
「富士通公開サイト」",,,,
,H002-2,×,"■操作手順
2本指フリック、1本指フリックともに「富士通株式会社 リンク イメージ」のみ読み上げられ、「公式サイト」にはフォーカスが移動しなかった。
■音声読み上げ
「富士通株式会社 リンク イメージ」",,,,
,H004-1,×,"■操作手順
2本指フリック、1本指フリックともに、指定された順序にはフォーカスは移動しなかった。
■音声読み上げ
「入力内容 表の開始位置です。
夫　妻
夫 姓 姓　テキストフィールド 夫の姓 ダブルタップして編集します
妻 テキストフィールド 妻の姓 ダブルタップして編集します
夫 名 名 テキストフィールド 夫の名 ダブルタップして編集します
妻 テキストフィールド 妻の名 ダブルタップして編集します
夫 出身地 出身地 テキストフィールド 夫の出身地 ダブルタップして編集します
妻 テキストフィールド 表の終了位置です 妻の出身地 ダブルタップして編集します」",ローターで「フォームコントロール」を選んでも読み上げ順序変わらず。,,,
,H004-2,×,"■操作手順
2本指フリック、1本指フリックともに、指定された順序にはフォーカスは移動しなかった。
■音声読み上げ
「携帯サイト リンク リストの開始位置です
サイトマップ リンク リストの終了位置です
テキストフィールド ダブルタップして編集します
検索 ボタン」",,,,
,H004-3a,×,"■操作手順
2本指フリック、1本指フリックともに、指定された順序にはフォーカスは移動しなかった。
■音声読み上げ
「リンク 1　リンク
リンク 2　リンク
リンク 3　リンク
リンク 4　リンク」",ローターで「リンク」を選んでも読み上げ順序変わらず。,,,
,H004-3b,○,"■操作手順
2本指フリック、1本指フリックともに、指定された順序で移動して読み上げられた。
■音声読み上げ
「リンク 1　リンク
リンク 2　リンク
リンク 21　リンク
リンク 3　リンク
省略記号
リンク 20　リンク」",,,,
,H024,○,"■操作手順
2本指フリック、1本指フリックともに、alt属性に記載された代替テキストが読み上げられた。
■音声読み上げ
「S棟 ソリューション棟 リンク
O棟 オフィス棟 リンク
C棟 共通棟 リンク」",,,,
,H025,×,"■操作手順
ページが開かれた時、ページタイトルは読み上げられない。
■音声読み上げ
「省略記号」",,,,
,H030-1,○,"■操作手順
2本指フリック、1本指フリックともに、「首相官邸ホームページ リンク」と読み上げられた。
■音声読み上げ
「首相官邸ホームページ リンク」",,,,
,H030-2,○,"■操作手順
2本指フリック、1本指フリックともに、「東京駅構内の最新のルート リンク イメージ」と読み上げられた。
■音声読み上げ
「東京駅構内の最新のルート リンク イメージ」",,,,
,H030-3,○,"■操作手順
2本指フリック、1本指フリックともに、「東京駅構内の最新のルート リンク」と読み上げられた。
■音声読み上げ
「東京駅構内の最新のルート リンク」",,,,
,H030-4,○,"■操作手順
2本指フリック、1本指フリックともに、「首相官邸ホームページ リンク」と読み上げられた。
■音声読み上げ
「首相官邸ホームページ リンク」",,,,
,H030-5,×,"■操作手順
2本指フリック、1本指フリックともに、「施設ご利用の手引き リンク」と読み上げられた。
■音声読み上げ
「施設ご利用の手引き リンク」",,,,
,H032-1,○,"■操作手順
「申し込む」ボタンに移動してEnterキーを押下したところ、ページが遷移した。
■音声読み上げ
「Eメールアドレスを入力してください テキストフィールド ダブルタップして編集します
申し込む ボタン
Example Domain 見出しレベル1」",ボタンを押下するとページは遷移するが、フォームが送信されたかどうかは判断できません。,,,
,H032-2,○,"■操作手順
1. セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンをダブルタップした後選択したページへリダイレクトされた。
■音声読み上げ
「ブログ」",,,,
,H033-1,○,"■操作手順
2本指フリックすると、「富士通 リンク」だけしか読み上げられない。
1本指フリックすると、「富士通 リンク 富士通株式会社の公式サイト」と読み上げられた。
■音声読み上げ
「富士通 リンク 富士通株式会社の公式サイト」",,,,
,H033-2,○,"■操作手順
2本指フリックすると、「富士通 公開サイト リンク」だけしか読み上げられない。
1本指フリックすると、「富士通 公開サイト」とともにtitle属性値「新しいウィンドウで開く」が読み上げられた。
■音声読み上げ
「富士通 公開サイト リンク 新しいウィンドウで開く」",,,,
,H035,○,"■操作手順
2本指フリック、1本指フリックともに、「三目並べゲーム applet要素のボディ」が読み上げられた。
■音声読み上げ
「三目並べゲーム applet要素のボディ」",,,,
,H036,○,"■操作手順
2本指フリック、1本指フリックともに、「送信 ボタン」が読み上げられた。
■音声読み上げ
「送信 ボタン」",,,,
,H037-1,○,"■操作手順
2本指フリック、1本指フリックともに、「東京駅構内図を見る リンク イメージ」と読み上げられた。
■音声読み上げ
「東京駅構内図をみる リンク イメージ」",,,,
,H037-2,×,"■操作手順
2本指フリック、1本指フリックともに、img要素のalt属性値は読み上げられなかった。
■音声読み上げ
「4F 雑貨書籍 リンク
3F 衣料品 リンク
2F お菓子 その他食品 リンク
1F 生鮮食品 リンク」",,,,
,H039,×,"■操作手順
2本指フリックの場合、caption要素の値は読み上げられなかった。
1本指フリックの場合は、caption要素の値が読み上げられるが、読み上げ順序が狂う。
■音声読み上げ
2本指フリック
「月曜 表の開始位置です 火曜 水曜 木曜 金曜
8時～9時 サムと会う     
9時～10時 ウィリアムズ医師 再度サムと会う サンアントニオへ出発
表の終了位置です」
1本指フリック
「3月6日の週の予定 火曜 8時～9時 月曜 表の開始位置です
水曜 火曜
木曜 水曜
金曜 木曜
金曜
月曜 9時～10時 8時～9時
火曜 サムと会う
月曜 9時～10時
木曜 ウィリアムズ医師
金曜 再度サムと会う
サンアントニオへ出発
表の終了位置です」",,,,
,H042,○,"■操作手順
2本指フリックでは、見出しであることは読み上げられなかった。
1本指右フリック、およびローターを「見出し」に設定した場合の1本指縦フリックでは、見出しであることが読み上げられた。
■音声読み上げ
「サイト内ナビゲーション 見出しレベル2
本日の株式市場 見出しレベル1
関連リンク 見出しレベル2」",,,,
,H043,△,"■操作手順
2本指フリックでは、データセルと見出しセルの関連付けはされなかった。
1本指フリックでは、関連付けはされるものの一部のみ。
■音声読み上げ
2本指フリック
「全国 表の開始位置です 東京 大阪
男性 女性 合計 男性 女性 合計
15% 5% 15% 10% 15% 25% 20%
表の終了位置です」
1本指フリック
「全国 表の開始位置です
東京
大阪
東京 男性
女性
合計
大阪 男性
女性
合計
全国 15%
東京 5%
15%
10%
大阪 15%
25%
20%
表の終了位置です」",,,,
,H044-1,○,"■操作手順
2本指フリック、1本指フリックともに「お名前 テキストフィールド」と読み上げた。
■音声読み上げ
「お名前 テキストフィールド ダブルタップして編集します」",,,,
,H044-2,○,"■操作手順
2本指フリック、1本指フリックともに「HTML チェックボックス チェックマークがつきました」と読み上げた。
■音声読み上げ
「HTML チェックボックス チェックマークがつきました ダブルタップして設定を切り替えます」",,,,
,H044-3,○,"■操作手順
2本指フリック、1本指フリックともに、ラジオボタンがそれぞれのラベルとともに読み上げられた。
■音声読み上げ
「チョコレートタイプ ラジオボタン チェックが外されました 全3個中1個 ダブルタップして設定を切り替えます
クリームたっぷりタイプ ラジオボタン チェックが外されました 全3個中2個 ダブルタップして設定を切り替えます
はちみつがけタイプ ラジオボタン チェックが外されました 全3個中3個 ダブルタップして設定を切り替えます」",,,,
,H045,×,"■操作手順
2本指フリック、1本指フリックともに、代替テキスト「会員数の遷移グラフ」は読み上げられるものの、longdesc属性に関する読み上げはなかった。
■音声読み上げ
「会員数の遷移グラフ イメージ」",,,,
,H048-1,△,"■操作手順
2本指フリックでは、リストの開始位置であることのみ読み上げ、
リストの中ではそれぞれの項目の前に番号を読み上げた。
1本指フリックでは、リストの開始位置であることと終了位置も読み上げた。
■音声読み上げ
「1 リストの開始位置です ボウルにたまごと牛乳を入れ、混ぜます。
2 塩とコショウを加えます。
リストの終了位置です。」",リストの全項目数は読み上げない。,,,
,H048-2,△,"■操作手順
2本指フリックでは、リストの開始位置であることのみ読み上げ、
リストの中ではそれぞれの項目の前に「行頭記号」を読み上げた。
1本指フリックでは、リストの開始位置であることと終了位置も読み上げた。
■音声読み上げ
「行頭記号 リストの開始位置です 牛乳
行頭記号 卵
行頭記号 バター
リストの終了位置です」",リストの全項目数は読み上げない。,,,
,H048-3,△,"■操作手順
2本指フリックでは、定義リストであることを読み上げなかった。
リストであることも不明。
1本指フリックでは、リストの開始位置であることと終了位置も読み上げたが、dtとｄｄの区別はできなかった。
■音声読み上げ
2本指フリック
「点滅 一秒間に3～5回点いたり消えたりすること」
1本指フリック
「点滅 リストの開始位置です
一秒間に3～5回点いたり消えたりすること
リストの終了位置です」",,,,
,H049-1,×,"■操作手順
該当項目は通常の本文と同じように読み上げられた。
■音声読み上げ
「省略記号 彼女が本当に言いたかったのは、これは良いどころではなく、むしろ素晴らしいということだった 省略記号」",<strong>のみ少しだけ声質と音量が変わるように聞こえますが、判断できないレベルです。,,,
,H049-2,×,"■操作手順
1. 1本指フリック、2本指フリックともに、cite要素でマークアップされた「わが人生の物語」を、引用元として認識して読み上げることができなかった。
2. blockquote要素でマークアップされた部分も、引用として認識して読み上げることができなかった。
■音声読み上げ
「次の文章は、ヘレンケラーのわが人生の物語からの引用です。
ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。」",,,,
,H049-3,×,"■操作手順
1本指フリック、2本指フリックともに、通常のテキストと引用文の区別ができなかった。ただし、閉じ側の「""」のみ読み上げた。
■音声読み上げ
「ヘレン・ケラーは言いました、 自己憐憫は私たちの最悪の敵です。もし、それに自らを委ねるなら、 私たちは世の中で決して賢明なことができないでしょう。ダブル引用符」",,,,
,H049-4,×,"■操作手順
1. ""Zn2+""が「ゼット エヌ ニ プラス」と読み上げられた。
2. ""H2O""が「エイチ ニ オー」と読み上げられた
■音声読み上げ
亜鉛イオンは ゼットエヌにプラス
The chemical notation for water is エイチにオー.",,,,
,H050-1,×,"■操作手順
2本指フリックではリストであることも判別できない。
1本指フリックでは、リストがあることは把握できるが、リストをスキップすることはできなかった。
■音声読み上げ
「キッチン リンク リストの開始位置です
ベッドルーム・浴室 リンク
ダイニング リンク
照明 リンク
収納 リンク リストの終了位置です」",,,,
,H050-2,×,"■操作手順
map要素のtitle属性値「メインメニュー」を読み上げることができなかった。また、4つのリンク項目を読み飛ばすことはできなかった。
■音声読み上げ
「左角かっこ
ホーム リンク
検索 リンク
更新情報 リンク
サイトマップ リンク
右角かっこ」",,,,
2013/7/9,H051,×,"■操作手順
2本指フリック、1本指フリックともに、テーブルの開始位置と終了位置が分かるように読み上げた。
2本指フリック、1本指フリックともに、テーブルの行数と列数が分かるようには読み上げない。
2本指フリック、1本指フリックともに、行見出しまたは列見出しであることが分かるように読み上げない。
1本指フリックの場合、データセルの前に行見出しセルが読み上げられるが、狂っている。2本指フリックでは読み上げない。
データセルを読み上げた後、何らかのキー操作によって、そのデータセルが参照する列見出しセルと行見出しセルを一緒に読み上げられない。

■音声読み上げ
2本指フリック
「月曜 表の開始位置です 火曜 水曜 木曜 金曜
8時～9時 サムと会う     
9時～10時 ドリー先生 ウィリアムズ医師 再度サムと会う サンアントニオへ出発
表の終了位置です」
1本指フリック
「火曜 8時～9時 月曜 表の開始位置です
水曜 火曜
木曜 水曜
金曜 木曜
金曜
月曜 9時～10時 8時～9時
火曜 サムと会う
月曜 9時～10時
火曜 ドリー先生
木曜 ウィリアムズ医師
金曜 再度サムと会う
サンアントニオへ出発
表の終了位置です」",同じ列を縦にフォーカス移動できません。,,,
2013/7/11,H053-1,○,"■操作手順
2本指フリック、1本指フリックともに、「ここには、オブジェクトとその動作についての説明が入ります」と読まれた。
■音声読み上げ
「ここには　オブジェクトとその動作についての説明が入ります」",,,,
,H053-2,○,"■操作手順
2本指フリック、1本指フリックともに、「富士通 イメージ」と読み上げられた。
■音声読み上げ
「富士通 イメージ」",,,,
,H053-3,×,"■操作手順
2本指フリック、1本指フリックともに、「イメージ」と読み上げられ、代替テキストは確認できなかった。
■音声読み上げ
「イメージ」",,,,
,H056,×,"■操作手順
2本指フリック、1本指フリックともに、「6789 5 4 3 2 1」と読み上げられた。
■音声読み上げ
「数字を並べます 「 6789、5 4 3 2 1 」 昇順になっているはずです」
",,,,
,H057-1,×,"■操作手順
2本指フリック、1本指フリックともに、英語として読んでいるが、日本語音声と変化はなかった。 
■音声読み上げ
「The power of the Web is in its universality. Access by everyone regardless of disability is an essential aspect.」",,,,
,H057-2,×,"■操作手順
2本指フリック、1本指フリックともに、英語として読んでいるが、日本語音声と変化はなかった。 
■音声読み上げ
「The power of the Web is in its universality. Access by everyone regardless of disability is an essential aspect.」",,,,
,H057-3,×,"■操作手順
2本指フリック、1本指フリックともに、英語として読んでいるが、日本語音声と変化はなかった。 
■音声読み上げ
「The power of the Web is in its universality. Access by everyone regardless of disability is an essential aspect.」",,,,
,H063,△,"■操作手順
1. 同じ行にあるデータセルからデータセルへ1本指フリックで移動した際（例：「クリーブ・ロイド」から「410-306-1420」へ移動した際）、移動した先のセルの列見出し（例：「電話」）が一緒に読み上げられた。
2. 同じ列にあるデータセルからデータセルへタップで移動した際（例：「ヒューストン」から「ピッツバーグ」へ移動した際）、移動した先のセルの行見出し（例：「ジョエル・ガーナー」）は一緒に読み上げない。
■音声読み上げ
1. 「電話 410 306 1420 リンク 電話番号を検出しました」
2. 「ヒューストン」　「ピッツバーグ」",,,,
,H064-1,×,"■操作手順
2本指フリック、1本指フリックともに、「メニュー」と「メインコンテンツ」というフレームタイトルを読み上げなかった。
■音声読み上げ
「メニュー 見出しレベル1
行頭記号 リストの開始位置です トップページ リンク
行頭記号 お問い合わせ リンク
行頭記号 アクセシビリティ リンク
このページの本文へ移動 ページ内リンク
：」",,,,
,H064-2,×,"■操作手順
2本指フリック、1本指フリックともに、「広告」というtitle属性値を読み上げなかった。
■音声読み上げ
「iFrameの使い方 見出しレベル1
このページの本文へ移動 ページ内リンク
：」",,,,
,H065-1,○,"■操作手順
2本指フリックでは読み上げないが、1本指フリックの場合は、「検索範囲を選択」もいっしょに読み上げられた。
■音声読み上げ
「このサイト内 ポップアップボタン 検索範囲を選択 ダブルタップしてピッカーを起動します」",,,,
,H065-2,○,"■操作手順
2本指フリック、1本指フリックともに、「複数行テキストフィールド」と読まれる前に、市外局番、市内局番、加入者番号と読み上げられた。
■音声読み上げ
「電話番号
市外局番 複数行テキストフィールド
市内局番 複数行テキストフィールド
加入者番号 複数行テキストフィールド」",,,,
,H065-3,○,"■操作手順
2本指フリック、1本指フリックともに、「テキストフィールド」と読まれる前に「検索キーワードを入力」と読み上げられた。
■音声読み上げ
「検索キーワードを入力 テキストフィールド 検索 ボタン」",,,,
,H067,○,"■操作手順
2本指フリック、1本指フリックともに、「テスト開始」の次に「テスト終了」と読み上げられた。
■音声読み上げ
「テスト開始　テスト終了」",,,,
,H069-1,○,"■操作手順
ローターで「見出し」に設定後1本指縦フリック（上から下）で次の見出しに移動できた。また、下から上へフリックすることで、見出しを逆順に移動できた。
■音声読み上げ
1. 「検索技術に関する定期刊行物 見出しレベル1
検索 見出しレベル2
ご利用可能な雑誌 見出しレベル2
検索結果 見出しレベル2」
2. 1.を逆に移動",,,,
